   60
HE+ 0/H + 1  24/P=4.000D+00/S=1.000D+00/A=4.731D+00/E=0.000D+00/T=CX /ISEL=    1
 1.060D-15 1.230D-15 1.390D-15 1.520D-15 1.600D-15 1.720D-15
 1.790D-15 1.820D-15 1.890D-15 1.920D-15 1.940D-15 1.910D-15
 1.840D-15 1.720D-15 1.620D-15 1.390D-15 1.050D-15 6.200D-16
 3.690D-16 1.460D-16 6.670D-17 3.280D-17 1.040D-17 2.560D-18 
HE+ 0/O + 8  24/P=4.000D+00/S=1.600D+01/A=3.867D+00/E=0.000D+00/T=CX /ISEL=   16
 5.000D+02 7.000D+02 1.000D+03 1.500D+03 2.000D+03 3.000D+03
 4.000D+03 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04
 3.000D+04 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05
 2.000D+05 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06
 2.040D-15 2.070D-15 2.090D-15 2.110D-15 2.130D-15 2.170D-15
 2.190D-15 2.190D-15 2.180D-15 2.160D-15 2.140D-15 2.130D-15
 2.100D-15 2.020D-15 1.960D-15 1.780D-15 1.490D-15 9.050D-16
 5.250D-16 1.910D-16 8.550D-17 4.300D-17 1.430D-17 3.600D-18 
HE+ 0/O + 8  24/P=4.000D+00/S=1.600D+01/A=3.867D+00/E=0.000D+00/T=CX /ISEL=   17
 5.000D+02 7.000D+02 1.000D+03 1.500D+03 2.000D+03 3.000D+03
 4.000D+03 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04
 3.000D+04 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05
 2.000D+05 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06
 2.040D-15 2.070D-15 2.090D-15 2.110D-15 2.130D-15 2.170D-15
 2.190D-15 2.190D-15 2.180D-15 2.160D-15 2.140D-15 2.130D-15
 2.100D-15 2.020D-15 1.960D-15 1.780D-15 1.490D-15 9.050D-16
 5.250D-16 1.910D-16 8.550D-17 4.300D-17 1.430D-17 3.600D-18 
HE+ 0/O + 8  22/P=4.000D+00/S=1.600D+01/A=3.867D+00/E=0.000D+00/T=CX /ISEL=   18
 1.000D+02 2.000D+02 4.000D+02 7.000D+02 1.000D+03 2.000D+03
 4.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04 3.000D+04
