  15    /N + 0  IONISATION RATE COEFFICIENTS   /
N + 0/N + 1/   24/I.P. =           117314.3/ICODE =  1/FCODE =  0/ISEL=   1
 3.793E-13 1.134E-10 8.172E-10 2.311E-09 4.466E-09 1.005E-08 
 1.980E-08 3.596E-08 5.018E-08 7.234E-08 8.820E-08 9.982E-08 
 1.153E-07 1.281E-07 1.377E-07 1.413E-07 1.424E-07 1.408E-07 
 1.385E-07 1.334E-07 1.265E-07 1.104E-07 8.760E-08 7.148E-08 
N + 0/N + 1/   24/I.P. =            88475.1/ICODE =  3/FCODE =  1/ISEL=  12
 1.000E+00 2.000E+00 3.000E+00 4.000E+00 5.000E+00 7.000E+00 
 1.000E+01 1.500E+01 2.000E+01 3.000E+01 4.000E+01 5.000E+01 
 7.000E+01 1.000E+02 1.500E+02 2.000E+02 3.000E+02 4.000E+02 
 5.000E+02 7.000E+02 1.000E+03 2.000E+03 5.000E+03 1.000E+04 
 3.725E-13 1.085E-10 7.689E-10 2.151E-09 4.123E-09 9.180E-09 
 1.789E-08 3.214E-08 4.454E-08 6.365E-08 7.718E-08 8.701E-08 
 9.999E-08 1.106E-07 1.184E-07 1.211E-07 1.217E-07 1.202E-07 
 1.180E-07 1.135E-07 1.075E-07 9.353E-08 7.403E-08 6.032E-08 
N + 0/N + 1/   24/I.P. =           103702.4/ICODE =  3/FCODE =  2/ISEL=  13
 1.000E+00 2.000E+00 3.000E+00 4.000E+00 5.000E+00 7.000E+00 
 1.000E+01 1.500E+01 2.000E+01 3.000E+01 4.000E+01 5.000E+01 
 7.000E+01 1.000E+02 1.500E+02 2.000E+02 3.000E+02 4.000E+02 
 5.000E+02 7.000E+02 1.000E+03 2.000E+03 5.000E+03 1.000E+04 
 6.609E-15 4.681E-12 4.502E-11 1.475E-10 3.122E-10 7.860E-10 
 1.702E-09 3.380E-09 4.976E-09 7.649E-09 9.683E-09 1.124E-08 
 1.342E-08 1.535E-08 1.693E-08 1.765E-08 1.812E-08 1.811E-08 
 1.794E-08 1.746E-08 1.670E-08 1.478E-08 1.188E-08 9.769E-09 
N + 0/N + 1/   24/I.P. =           121075.0/ICODE =  3/FCODE =  3/ISEL=  14
 1.000E+00 2.000E+00 3.000E+00 4.000E+00 5.000E+00 7.000E+00 
 1.000E+01 1.500E+01 2.000E+01 3.000E+01 4.000E+01 5.000E+01 
 7.000E+01 1.000E+02 1.500E+02 2.000E+02 3.000E+02 4.000E+02 
 5.000E+02 7.000E+02 1.000E+03 2.000E+03 5.000E+03 1.000E+04 
 1.148E-16 2.402E-13 3.323E-12 1.307E-11 3.087E-11 8.781E-11 
 2.076E-10 4.385E-10 6.642E-10 1.046E-09 1.338E-09 1.562E-09 
 1.876E-09 2.154E-09 2.383E-09 2.488E-09 2.558E-09 2.559E-09 
 2.537E-09 2.47E-09 2.365E-09 2.095E-09 1.686E-09 1.388E-09 
N + 0/N + 1/   24/I.P. =            88475.1/ICODE =  3/FCODE =  4/ISEL=  15
 1.000E+00 2.000E+00 3.000E+00 4.000E+00 5.000E+00 7.000E+00 
 1.000E+01 1.500E+01 2.000E+01 3.000E+01 4.000E+01 5.000E+01 
