   19    /Li  IONISATION RATE COEFFICIENTS   /
Li+ 1/Li+ 2/   24/I.P. =            27422.6/ICODE = 16/FCODE =  1/ISEL = 16
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 1.929E-09 1.848E-08 2.137E-07 7.646E-07 1.609E-06 3.666E-06
 6.512E-06 9.799E-06 1.163E-05 1.313E-05 1.343E-05 1.336E-05
 1.280E-05 1.184E-05 1.052E-05 9.532E-06 8.189E-06 7.297E-06
 6.651E-06 5.762E-06 4.929E-06 3.611E-06 2.374E-06 1.723E-06
Li+ 1/Li+ 2/   24/I.P. =            27422.6/ICODE = 17/FCODE =  1/ISEL = 17
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 1.929E-09 1.848E-08 2.137E-07 7.646E-07 1.609E-06 3.666E-06
 6.512E-06 9.799E-06 1.163E-05 1.313E-05 1.343E-05 1.336E-05
 1.280E-05 1.184E-05 1.052E-05 9.532E-06 8.189E-06 7.297E-06
 6.651E-06 5.762E-06 4.929E-06 3.611E-06 2.374E-06 1.723E-06
Li+ 1/Li+ 2/   24/I.P. =            27567.8/ICODE = 18/FCODE =  1/ISEL = 18
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 8.119E-10 3.614E-09 1.611E-08 3.384E-08 5.248E-08 8.533E-08
 1.197E-07 1.497E-07 1.623E-07 1.679E-07 1.648E-07 1.593E-07
 1.479E-07 1.334E-07 1.162E-07 1.044E-07 8.913E-08 7.938E-08
 7.247E-08 6.311E-08 5.447E-08 4.093E-08 2.811E-08 2.116E-08
Li+ 1/Li+ 2/   24/I.P. =            27140.3/ICODE = 19/FCODE =  1/ISEL = 19
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 6.722E-10 2.932E-09 1.286E-08 2.694E-08 4.185E-08 6.869E-08
 9.807E-08 1.262E-07 1.403E-07 1.512E-07 1.531E-07 1.519E-07
 1.466E-07 1.379E-07 1.258E-07 1.167E-07 1.036E-07 9.468E-08
 8.802E-08 7.854E-08 6.930E-08 5.381E-08 3.797E-08 2.894E-08
C----------------------------------------------------------------------------
C
C
C   ISEL  INITIAL MET.        DESIG.             FINAL  MET.      DESIG.
C           ION   CODE                            ION   CODE
C   ----  ------- ---- -------------------      ------- ---- ---------------
C     1   Li+ 1    1       1s2(1S)               Li+ 2    1         1s1(2S)
C     2   Li+ 1    2       1s1 2s1(3S)           Li+ 2    1         1s1(2S)
C     3   Li+ 1    3       1s1 2s1(1S)           Li+ 2    1         1s1(2S)
C     4   Li+ 1    4       1s1 2p1(3P)           Li+ 2    1         1s1(2S)
C     5   Li+ 1    5       1s1 2p1(1P)           Li+ 2    1         1s1(2S)
C     6   Li+ 1    6       1s1 3s1(3S)           Li+ 2    1         1s1(2S)
C     7   Li+ 1    7       1s1 3s1(1S)           Li+ 2    1         1s1(2S)
C     8   Li+ 1    8       1s1 3p1(3P)           Li+ 2    1         1s1(2S)
C     9   Li+ 1    9       1s1 3d1(3D)           Li+ 2    1         1s1(2S)
C    10   Li+ 1   10       1s1 3d1(1D)           Li+ 2    1         1s1(2S)
C    11   Li+ 1   11       1s1 3p1(1P)           Li+ 2    1         1s1(2S)
C    12   Li+ 1   12       1s1 4s1(3S)           Li+ 2    1         1s1(2S)
C    13   Li+ 1   13       1s1 4s1(1S)           Li+ 2    1         1s1(2S)
C    14   Li+ 1   14       1s1 4p1(3P)           Li+ 2    1         1s1(2S)
C    15   Li+ 1   15       1s1 4d1(3D)           Li+ 2    1         1s1(2S)
C    16   Li+ 1   16       1s1 4f1(3F)           Li+ 2    1         1s1(2S)
C    17   Li+ 1   17       1s1 4f1(1F)           Li+ 2    1         1s1(2S)
C    18   Li+ 1   18       1s1 4d1(1D)           Li+ 2    1         1s1(2S)
C    19   Li+ 1   19       1s1 4p1(1P)           Li+ 2    1         1s1(2S)
C
C
C  The rates were calculated using configuration-average ionization cross
C  sections, with semi-relativistic wavefunctions, using the
C  relaxed-core approximation, the prior form for the scattering
C  potentials, and the natural-phase approximation.       
C  They were then multiplied by the appropriate angular coefficients.
C
C
C  Data generated by  Stuart Loch on 14-Jul-2002
C----------------------------------------------------------------------------
 
C---------------------------------------------------------------------------------
C ADAS ADF07 DATA - SCCS info: @(#)$Header: /u/xshare/Attic/repos/codesys/source/adas/data/adf07/szd02#li/szd02#li_li1.dat,v 1.1 2009-07-30 05:53:41 Marina Gorelenkova Exp $ Date $Date: 2009-07-30 05:53:41 $
C---------------------------------------------------------------------------------
