   26    /FE  IONISATION RATE COEFFICIENTS   /
 1.301D-09 1.503D-09 1.662D-09 1.511D-09 1.402D-09 1.274D-09
FE+12/FE+13/   24/I.P. =         39615169.8/ICODE =  1/FCODE =  0/ISEL=  13
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 5.000D+03 7.000D+03 1.000D+04
 1.000D-70 1.000D-70 4.672D-62 3.637D-49 1.908D-41 1.269D-32
 5.672D-26 9.827D-21 4.510D-18 2.295D-15 3.746D-13 3.498D-12
 1.953D-11 7.889D-11 1.639D-10 3.507D-10 5.172D-10 6.522D-10
 8.428D-10 1.003D-09 1.148D-09 1.066D-09 9.931D-10 9.054D-10
FE+13/FE+14/   24/I.P. =         43017026.5/ICODE =  1/FCODE =  0/ISEL=  14
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 5.000D+03 7.000D+03 1.000D+04
 1.000D-70 1.000D-70 6.697D-67 6.811D-53 1.659D-44 6.341D-35
 1.064D-27 5.329D-22 4.263D-19 3.886D-16 1.043D-13 1.240D-12
 8.628D-12 4.330D-11 1.021D-10 2.494D-10 3.926D-10 5.139D-10
 6.909D-10 8.434D-10 9.843D-10 9.105D-10 8.439D-10 7.648D-10
FE+14/FE+15/   24/I.P. =         50149951.8/ICODE =  1/FCODE =  0/ISEL=  15
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 5.000D+03 7.000D+03 1.000D+04
 1.000D-70 1.000D-70 1.000D-70 1.244D-59 7.603D-50 1.093D-38
 2.526D-30 8.757D-24 1.767D-20 3.935D-17 2.127D-14 3.469D-13
 3.148D-12 1.988D-11 5.305D-11 1.485D-10 2.533D-10 3.507D-10
 5.091D-10 6.688D-10 8.811D-10 9.222D-10 8.867D-10 8.319D-10
FE+15/FE+16/   24/I.P. =         53771283.1/ICODE =  1/FCODE =  0/ISEL=  16
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 5.000D+03 7.000D+03 1.000D+04
 1.000D-70 1.000D-70 1.000D-70 1.474D-63 4.666D-53 4.360D-41
 4.038D-32 4.067D-25 1.396D-21 5.326D-18 4.600D-15 9.643D-14
 1.096D-12 8.334D-12 2.432D-11 7.449D-11 1.334D-10 1.910D-10
 2.898D-10 3.966D-10 5.571D-10 6.192D-10 6.054D-10 5.766D-10
FE+16/FE+17/   23/I.P. =        138817700.3/ICODE =  1/FCODE =  0/ISEL=  17
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 4.000D+03 5.000D+03 7.000D+03
 1.000D+04 1.500D+04 2.000D+04 3.000D+04 4.000D+04
 6.236D-65 7.139D-47 7.137D-38 7.106D-29 1.294D-21 1.886D-18
 4.844D-16 3.900D-14 3.617D-13 3.462D-12 1.089D-11 2.180D-11
 4.855D-11 8.889D-11 1.784D-10 2.423D-10 2.535D-10 2.620D-10
